City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Current Description
242,Ordubad,38.9059,46.0234,53.26,44,0,4.05,AZ,2022-03-31 15:52:25,clear sky
243,Grafton,42.207,-71.6856,59.32,87,100,16.11,US,2022-03-31 15:52:25,mist
244,Songjianghe,42.1859,127.479,25.18,62,40,2.13,CN,2022-03-31 15:52:25,scattered clouds
245,Husavik,66.0449,-17.3389,34.43,98,100,1.83,IS,2022-03-31 15:52:26,light snow
246,Nishihara,26.1842,127.7558,69.85,94,75,23.02,JP,2022-03-31 15:52:26,broken clouds
247,Bad Tolz,47.7611,11.5589,48.67,89,100,1.28,DE,2022-03-31 15:52:26,overcast clouds
248,Port Hardy,50.6996,-127.4199,42.8,93,75,4.61,CA,2022-03-31 15:51:38,light intensity shower rain
249,Mathbaria,22.2876,89.9593,80.17,77,5,11.92,BD,2022-03-31 15:52:26,clear sky
250,Dovers,12.8833,-61.1833,80.19,76,48,18.19,VC,2022-03-31 15:52:27,scattered clouds
251,Viedma,-40.8135,-62.9967,69.33,15,0,15.79,AR,2022-03-31 15:52:27,clear sky
252,Key West,24.5557,-81.7826,86.0,69,20,25.32,US,2022-03-31 15:50:52,few clouds
253,Timmins,48.4669,-81.3331,28.22,93,100,13.8,CA,2022-03-31 15:52:15,snow
254,Port Blair,11.6667,92.75,82.44,78,40,2.3,IN,2022-03-31 15:52:28,mist
255,Sistranda,63.7256,8.834,35.56,62,100,13.4,NO,2022-03-31 15:52:28,overcast clouds
256,Geraldton,-28.7667,114.6,73.81,78,100,19.57,AU,2022-03-31 15:47:31,moderate rain
257,Tulagi,-9.0996,160.1476,82.71,74,100,1.16,SB,2022-03-31 15:52:28,overcast clouds
258,Plettenberg Bay,-34.0527,23.3716,63.93,81,94,3.27,ZA,2022-03-31 15:52:28,overcast clouds
259,Orangeburg,33.4918,-80.8557,73.36,81,100,20.71,US,2022-03-31 15:52:29,light rain
260,Billings,45.7833,-108.5007,44.51,57,100,13.8,US,2022-03-31 15:48:14,overcast clouds
261,Dingle,10.9995,122.6711,77.45,86,65,7.11,PH,2022-03-31 15:52:29,broken clouds
262,Alofi,-19.0595,-169.9187,71.49,94,61,0.0,NU,2022-03-31 15:50:34,broken clouds
263,Hearst,49.6835,-83.6665,25.05,95,100,13.67,CA,2022-03-31 15:52:29,snow
264,Necochea,-38.5473,-58.7368,59.25,61,93,11.41,AR,2022-03-31 15:52:30,overcast clouds
265,Lorengau,-2.0226,147.2712,79.34,87,100,17.34,PG,2022-03-31 15:52:30,overcast clouds
266,San Policarpo,12.1791,125.5072,80.49,83,28,12.57,PH,2022-03-31 15:52:30,scattered clouds
267,Ignalina,55.35,26.1667,32.38,38,76,5.95,LT,2022-03-31 15:52:31,broken clouds
268,Udachnyy,66.4167,112.4,25.45,67,100,7.09,RU,2022-03-31 15:52:31,overcast clouds
269,Victoria,22.2855,114.1577,73.96,82,23,15.99,HK,2022-03-31 15:51:02,few clouds
270,Sola,-13.8833,167.55,82.0,75,100,5.53,VU,2022-03-31 15:52:31,light rain
271,Buckeye,33.3703,-112.5838,72.43,42,0,11.5,US,2022-03-31 15:52:32,clear sky
272,Bathsheba,13.2167,-59.5167,79.41,83,75,20.71,BB,2022-03-31 15:52:32,broken clouds
273,Opunake,-39.4556,173.8583,63.84,88,100,1.54,NZ,2022-03-31 15:52:32,overcast clouds
274,Halvad,23.0167,71.1833,84.16,26,0,9.78,IN,2022-03-31 15:52:32,clear sky
275,Najran,17.4924,44.1277,77.65,13,0,12.15,SA,2022-03-31 15:52:33,clear sky
276,Tangjiazhuang,39.7333,118.45,42.26,22,0,5.19,CN,2022-03-31 15:53:33,clear sky
277,Minab,27.1467,57.0801,82.2,35,0,3.04,IR,2022-03-31 15:53:33,clear sky
278,Huarmey,-10.0681,-78.1522,75.16,74,89,9.89,PE,2022-03-31 15:53:34,overcast clouds
279,Giyon,8.5333,37.9833,73.15,23,15,13.33,ET,2022-03-31 15:53:34,few clouds
280,Riyadh,24.6877,46.7219,91.54,9,0,4.61,SA,2022-03-31 15:50:17,clear sky
281,Koosa,58.5255,27.0795,34.84,70,71,3.02,EE,2022-03-31 15:53:34,broken clouds
282,Naze,28.3667,129.4833,59.92,74,100,22.64,JP,2022-03-31 15:51:06,overcast clouds
283,Saint-Joseph,-21.3667,55.6167,77.38,72,41,14.5,RE,2022-03-31 15:53:35,scattered clouds
284,Wajima,37.4,136.9,43.14,56,100,12.97,JP,2022-03-31 15:51:22,overcast clouds
285,Lexington,37.9887,-84.4777,54.34,75,100,17.27,US,2022-03-31 15:53:35,overcast clouds
286,Taiyuan,37.8694,112.5603,48.06,25,0,13.42,CN,2022-03-31 15:53:35,clear sky
287,Sysert,56.4953,60.8192,26.58,98,91,3.09,RU,2022-03-31 15:53:35,overcast clouds
288,Gejiu,23.306,103.1635,48.69,88,57,7.52,CN,2022-03-31 15:53:36,broken clouds
289,Hasaki,35.7333,140.8333,46.8,85,100,24.29,JP,2022-03-31 15:53:36,light rain
290,Kuryk,43.2,51.65,55.13,51,76,8.63,KZ,2022-03-31 15:53:37,broken clouds
291,Uige,-7.6087,15.0613,80.62,74,75,9.22,AO,2022-03-31 15:53:37,thunderstorm
292,Orsk,51.2049,58.5668,38.3,75,0,15.66,RU,2022-03-31 15:53:37,clear sky
293,Kloulklubed,7.0419,134.2556,79.45,81,100,5.77,PW,2022-03-31 15:53:37,overcast clouds
294,Vitoria Do Mearim,-3.4622,-44.8706,80.83,85,100,3.53,BR,2022-03-31 15:52:26,overcast clouds
295,San Vicente,-26.6167,-54.1333,66.22,31,73,6.49,AR,2022-03-31 15:53:38,broken clouds
296,Fort Nelson,58.8053,-122.7002,22.59,86,100,9.22,CA,2022-03-31 15:50:38,overcast clouds
297,Amboasary,-25.0333,46.3833,74.14,78,0,10.92,MG,2022-03-31 15:53:38,clear sky
298,Sidney,-33.8679,151.2073,61.11,85,75,24.16,AU,2022-03-31 15:51:24,light intensity shower rain
299,Altamira,-3.2033,-52.2064,82.49,83,100,4.61,BR,2022-03-31 15:53:39,overcast clouds
300,Kaura Namoda,12.5898,6.5779,101.41,5,21,2.98,NG,2022-03-31 15:53:39,few clouds
301,Cayenne,4.9333,-52.3333,84.24,15,75,11.5,GF,2022-03-31 15:49:14,broken clouds
302,Uyemskiy,64.4743,40.8524,21.25,79,40,6.71,RU,2022-03-31 15:53:39,scattered clouds
303,Ola,59.5833,151.2833,5.14,82,62,9.66,RU,2022-03-31 15:53:39,broken clouds
304,Puerto Escondido,15.85,-97.0667,83.07,44,53,7.47,MX,2022-03-31 15:53:40,broken clouds
305,Filadelfia,39.9523,-75.1638,69.03,74,100,19.57,US,2022-03-31 15:50:38,overcast clouds
306,Carauari,-4.8828,-66.8958,75.51,95,100,2.17,BR,2022-03-31 15:53:40,heavy intensity rain
307,Drezdenko,52.8383,15.8308,47.44,29,100,12.73,PL,2022-03-31 15:51:39,overcast clouds
308,Roanoke,37.271,-79.9414,67.01,85,100,14.97,US,2022-03-31 15:48:43,overcast clouds
309,Tambacounda,13.7539,-13.7586,106.38,10,98,5.91,SN,2022-03-31 15:53:41,overcast clouds
310,Hay River,60.8156,-115.7999,13.98,85,100,12.66,CA,2022-03-31 15:53:41,light snow
311,Watsa,3.0372,29.5355,75.11,60,31,4.65,CD,2022-03-31 15:53:41,scattered clouds
312,Damaturu,11.747,11.9608,102.7,4,24,6.91,NG,2022-03-31 15:53:41,few clouds
313,Saskatoon,52.1168,-106.6345,39.18,68,75,18.41,CA,2022-03-31 15:53:42,broken clouds
314,Pombas,17.1503,-25.0201,73.18,75,23,14.9,CV,2022-03-31 15:53:42,few clouds
315,Voh,-20.9667,164.7,75.83,92,4,1.79,NC,2022-03-31 15:53:42,clear sky
316,Kalmunai,7.4167,81.8167,80.76,82,6,9.71,LK,2022-03-31 15:53:43,clear sky
